Instance,Terminal,Layer,X location,Y location,Voltage
output21,VGND,li1,46.4600,43.5200,0.000012
output20,VGND,li1,52.9000,48.9600,0.000008
input19,VGND,li1,17.4800,59.8400,0.000005
input18,VGND,li1,20.2400,59.8400,0.000005
input17,VGND,li1,25.3000,59.8400,0.000004
input16,VGND,li1,7.5900,27.2000,0.000004
input15,VGND,li1,17.2500,10.8800,0.000000
input14,VGND,li1,7.5900,27.2000,0.000004
input13,VGND,li1,26.9100,59.8400,0.000005
input12,VGND,li1,30.1300,59.8400,0.000005
input11,VGND,li1,43.0100,59.8400,0.000007
input10,VGND,li1,53.1300,38.0800,0.000008
input9,VGND,li1,52.9000,38.0800,0.000008
input8,VGND,li1,52.9000,27.2000,0.000007
input7,VGND,li1,53.1300,21.7600,0.000008
input6,VGND,li1,52.9000,27.2000,0.000007
input5,VGND,li1,52.9000,16.3200,0.000005
input4,VGND,li1,52.9000,54.4000,0.000012
input3,VGND,li1,51.2900,54.4000,0.000012
input2,VGND,li1,51.2900,27.2000,0.000007
input1,VGND,li1,51.7500,38.0800,0.000008
TAP_TAPCELL_ROW_17_65,VGND,li1,44.3900,59.5480,0.000007
TAP_TAPCELL_ROW_17_64,VGND,li1,31.5100,59.5480,0.000006
TAP_TAPCELL_ROW_17_63,VGND,li1,18.6300,59.5480,0.000005
TAP_TAPCELL_ROW_16_62,VGND,li1,44.3900,54.6910,0.000011
TAP_TAPCELL_ROW_16_61,VGND,li1,18.6300,54.6910,0.000006
TAP_TAPCELL_ROW_15_60,VGND,li1,31.5100,54.1080,0.000008
TAP_TAPCELL_ROW_14_59,VGND,li1,44.3900,49.2510,0.000007
TAP_TAPCELL_ROW_14_58,VGND,li1,18.6300,49.2510,0.000004
TAP_TAPCELL_ROW_13_57,VGND,li1,31.5100,48.6680,0.000005
TAP_TAPCELL_ROW_12_56,VGND,li1,44.3900,43.8110,0.000012
TAP_TAPCELL_ROW_12_55,VGND,li1,18.6300,43.8110,0.000007
TAP_TAPCELL_ROW_11_54,VGND,li1,31.5100,43.2280,0.000008
TAP_TAPCELL_ROW_10_53,VGND,li1,44.3900,38.3710,0.000007
TAP_TAPCELL_ROW_10_52,VGND,li1,18.6300,38.3710,0.000005
TAP_TAPCELL_ROW_9_51,VGND,li1,31.5100,37.7880,0.000005
TAP_TAPCELL_ROW_8_50,VGND,li1,44.3900,32.9310,0.000007
TAP_TAPCELL_ROW_8_49,VGND,li1,18.6300,32.9310,0.000006
TAP_TAPCELL_ROW_7_48,VGND,li1,31.5100,32.3480,0.000006
TAP_TAPCELL_ROW_6_47,VGND,li1,44.3900,27.4910,0.000006
TAP_TAPCELL_ROW_6_46,VGND,li1,18.6300,27.4910,0.000004
TAP_TAPCELL_ROW_5_45,VGND,li1,31.5100,26.9080,0.000005
TAP_TAPCELL_ROW_4_44,VGND,li1,44.3900,22.0510,0.000008
TAP_TAPCELL_ROW_4_43,VGND,li1,18.6300,22.0510,0.000004
TAP_TAPCELL_ROW_3_42,VGND,li1,31.5100,21.4680,0.000006
TAP_TAPCELL_ROW_2_41,VGND,li1,44.3900,16.6110,0.000005
TAP_TAPCELL_ROW_2_40,VGND,li1,18.6300,16.6110,0.000004
TAP_TAPCELL_ROW_1_39,VGND,li1,31.5100,16.0280,0.000004
TAP_TAPCELL_ROW_0_38,VGND,li1,44.3900,11.1710,0.000000
TAP_TAPCELL_ROW_0_37,VGND,li1,31.5100,11.1710,0.000000
TAP_TAPCELL_ROW_0_36,VGND,li1,18.6300,11.1710,0.000000
PHY_EDGE_ROW_17_Left_35,VGND,li1,6.2100,59.8400,0.000005
PHY_EDGE_ROW_16_Left_34,VGND,li1,6.2100,54.4000,0.000007
PHY_EDGE_ROW_15_Left_33,VGND,li1,6.2100,54.4000,0.000007
PHY_EDGE_ROW_14_Left_32,VGND,li1,6.2100,48.9600,0.000004
PHY_EDGE_ROW_13_Left_31,VGND,li1,6.2100,48.9600,0.000004
PHY_EDGE_ROW_12_Left_30,VGND,li1,6.2100,43.5200,0.000009
PHY_EDGE_ROW_11_Left_29,VGND,li1,6.2100,43.5200,0.000009
PHY_EDGE_ROW_10_Left_28,VGND,li1,6.2100,38.0800,0.000007
PHY_EDGE_ROW_9_Left_27,VGND,li1,6.2100,38.0800,0.000007
PHY_EDGE_ROW_8_Left_26,VGND,li1,6.2100,32.6400,0.000008
PHY_EDGE_ROW_7_Left_25,VGND,li1,6.2100,32.6400,0.000008
PHY_EDGE_ROW_6_Left_24,VGND,li1,6.2100,27.2000,0.000004
PHY_EDGE_ROW_5_Left_23,VGND,li1,6.2100,27.2000,0.000004
PHY_EDGE_ROW_4_Left_22,VGND,li1,6.2100,21.7600,0.000004
PHY_EDGE_ROW_3_Left_21,VGND,li1,6.2100,21.7600,0.000004
PHY_EDGE_ROW_2_Left_20,VGND,li1,6.2100,16.3200,0.000004
PHY_EDGE_ROW_1_Left_19,VGND,li1,6.2100,16.3200,0.000004
PHY_EDGE_ROW_0_Left_18,VGND,li1,6.2100,10.8800,0.000000
PHY_EDGE_ROW_17_Right_17,VGND,li1,54.5100,59.8400,0.000007
PHY_EDGE_ROW_16_Right_16,VGND,li1,54.5100,54.4000,0.000012
PHY_EDGE_ROW_15_Right_15,VGND,li1,54.5100,54.4000,0.000012
