Instance,Terminal,Layer,X location,Y location,Voltage
_083_,VGND,li1,25.9900,32.6400,0.000004
_082_,VGND,li1,26.4500,32.6400,0.000004
_081_,VGND,li1,29.6700,21.7600,0.000006
_080_,VGND,li1,36.5700,21.7600,0.000008
_079_,VGND,li1,31.2800,21.7600,0.000006
_078_,VGND,li1,37.2600,16.3200,0.000006
_077_,VGND,li1,33.1200,16.3200,0.000006
_076_,VGND,li1,38.1800,16.3200,0.000006
_075_,VGND,li1,23.9200,21.7600,0.000004
_074_,VGND,li1,24.1500,16.3200,0.000005
_073_,VGND,li1,26.4500,16.3200,0.000005
_072_,VGND,li1,20.7000,16.3200,0.000005
_071_,VGND,li1,28.9800,16.3200,0.000005
_070_,VGND,li1,26.2200,21.7600,0.000005
_069_,VGND,li1,25.7600,10.8800,0.000003
_068_,VGND,li1,21.6200,16.3200,0.000005
_067_,VGND,li1,32.4300,27.2000,0.000004
_066_,VGND,li1,36.5700,27.2000,0.000005
_065_,VGND,li1,37.2600,21.7600,0.000008
_064_,VGND,li1,36.8000,10.8800,0.000004
_063_,VGND,li1,35.8800,27.2000,0.000005
_062_,VGND,li1,39.5600,27.2000,0.000005
_061_,VGND,li1,8.5100,32.6400,0.000007
_060_,VGND,li1,27.6000,21.7600,0.000005
_059_,VGND,li1,26.6800,27.2000,0.000004
_058_,VGND,li1,34.0400,16.3200,0.000006
_057_,VGND,li1,28.0600,38.0800,0.000004
_056_,VGND,li1,31.7400,32.6400,0.000004
